# note=lap1_baseline
# remote_ip=192.168.1.170
# hz=15.0 sensor_window=5 threshold=60
# tape_color=auto
# weights=camera/trained_weights/camera_reward299.6_20260610_194451.npy
t_ms,step,L,C,R,raw_L,raw_C,raw_R,col_L,col_C,col_R,lane_state,action
1.5,0,1.0000,0.2479,0.0000,1.0000,0.2479,0.0000,0.0481,0.0031,0.0069,DRIFT LEFT — too close to left line,0
73.2,1,1.0000,0.2388,0.0000,1.0000,0.2296,0.0000,0.0480,0.0027,0.0063,DRIFT LEFT — too close to left line,1
146.2,2,1.0000,0.2296,0.0000,1.0000,0.1793,0.0000,0.0493,0.0033,0.0049,DRIFT LEFT — too close to left line,1
214.7,3,1.0000,0.2327,0.0000,1.0000,0.2358,0.0000,0.0467,0.0008,0.0063,DRIFT LEFT — too close to left line,0
282.1,4,1.0000,0.2358,0.0000,0.9101,0.5449,0.0000,0.0332,0.0000,0.0124,DRIFT LEFT — too close to left line,1
351.2,5,1.0000,0.2358,0.0000,1.0000,0.4710,0.0000,0.0353,0.0006,0.0109,DRIFT LEFT — too close to left line,1
419.4,6,1.0000,0.4710,0.0000,0.7313,0.6342,0.0000,0.0327,0.0001,0.0152,DRIFT LEFT — too close to left line,0
488.8,7,0.9101,0.5449,0.0000,0.0000,0.9246,0.1507,0.0151,0.0000,0.0176,DRIFT LEFT — too close to left line,0
560.3,8,0.7313,0.6342,0.0000,0.0000,0.6985,0.5980,0.0117,0.0017,0.0217,DRIFT LEFT — too close to left line,0
628.9,9,0.0000,0.6985,0.1507,0.0000,0.7541,0.4812,0.0133,0.0035,0.0217,CENTERED,0
697.8,10,0.0000,0.6985,0.4812,0.0000,0.6919,0.6066,0.0148,0.0035,0.0278,DRIFT RIGHT — too close to right line,-1
768.7,11,0.0000,0.6985,0.5980,0.0000,0.5947,0.8091,0.0104,0.0006,0.0245,DRIFT RIGHT — too close to right line,0
836.3,12,0.0000,0.6919,0.6066,0.0000,0.5870,0.8197,0.0113,0.0026,0.0269,DRIFT RIGHT — too close to right line,-1
906.2,13,0.0000,0.5947,0.8091,0.0000,0.5039,0.9878,0.0117,0.0022,0.0346,DRIFT RIGHT — too close to right line,0
977.5,14,0.0000,0.5870,0.8197,0.0000,0.5293,0.9365,0.0117,0.0023,0.0323,DRIFT RIGHT — too close to right line,0
1048.9,15,0.0000,0.5870,0.8197,0.0000,0.6689,0.6571,0.0164,0.0019,0.0325,DRIFT RIGHT — too close to right line,-1
1119.4,16,0.0000,0.5870,0.8197,0.0000,0.6340,0.7265,0.0159,0.0022,0.0340,DRIFT RIGHT — too close to right line,-1
1214.0,17,0.0000,0.6009,0.7948,0.0000,0.6009,0.7948,0.0178,0.0014,0.0413,DRIFT RIGHT — too close to right line,-1
1253.3,18,0.0000,0.6340,0.7265,0.0000,0.7968,0.4064,0.0227,0.0000,0.0343,DRIFT RIGHT — too close to right line,-1
1322.0,19,0.0000,0.6340,0.6571,1.0000,0.3823,0.0000,0.0578,0.0015,0.0137,DRIFT RIGHT — too close to right line,0
1388.7,20,0.0000,0.6009,0.4064,1.0000,0.0894,0.0000,0.0742,0.0059,0.0035,MOSTLY CENTERED,0
1459.7,21,1.0000,0.3823,0.0000,1.0000,0.0690,0.0000,0.0868,0.0107,0.0032,DRIFT LEFT — too close to left line,1
1531.6,22,1.0000,0.1151,0.0000,1.0000,0.1151,0.0000,0.0888,0.0125,0.0056,DRIFT LEFT — too close to left line,1
1602.7,23,1.0000,0.0894,0.0000,1.0000,0.0663,0.0000,0.0908,0.0089,0.0032,DRIFT LEFT — too close to left line,0
1669.9,24,1.0000,0.0894,0.0000,1.0000,0.1939,0.0000,0.0439,0.0008,0.0047,DRIFT LEFT — too close to left line,1
1740.0,25,1.0000,0.1151,0.0000,1.0000,0.4262,0.0000,0.0422,0.0021,0.0115,DRIFT LEFT — too close to left line,1
1807.8,26,1.0000,0.1939,0.0000,0.9608,0.5179,0.0000,0.0420,0.0017,0.0147,DRIFT LEFT — too close to left line,1
1879.5,27,1.0000,0.4262,0.0000,0.9605,0.5185,0.0000,0.0418,0.0012,0.0147,DRIFT LEFT — too close to left line,1
1948.7,28,0.9608,0.5179,0.0000,0.1692,0.9154,0.0000,0.0312,0.0000,0.0263,DRIFT LEFT — too close to left line,0
2042.3,29,0.9605,0.5185,0.0000,0.0000,0.5327,0.9293,0.0152,0.0025,0.0416,DRIFT LEFT — too close to left line,1
2092.1,30,0.1692,0.5185,0.0000,0.0000,0.4535,1.0000,0.0135,0.0061,0.0454,MOSTLY CENTERED,0
2163.0,31,0.0000,0.5185,0.9293,0.0000,0.3627,1.0000,0.0104,0.0062,0.0462,DRIFT RIGHT — too close to right line,-1
2235.4,32,0.0000,0.4535,1.0000,0.0000,0.3535,1.0000,0.0096,0.0071,0.0440,DRIFT RIGHT — too close to right line,-1
2307.1,33,0.0000,0.3627,1.0000,0.0000,0.2791,1.0000,0.0089,0.0072,0.0540,DRIFT RIGHT — too close to right line,-1
2376.7,34,0.0000,0.3627,1.0000,0.0000,0.6957,0.6009,0.0247,0.0028,0.0460,DRIFT RIGHT — too close to right line,-1
2448.2,35,0.0000,0.3627,1.0000,0.0000,0.8504,0.2987,0.0269,0.0002,0.0364,DRIFT RIGHT — too close to right line,-1
2519.9,36,0.0000,0.6957,0.6009,0.4905,0.7539,0.0000,0.0338,0.0006,0.0205,DRIFT RIGHT — too close to right line,-1
2591.1,37,0.0000,0.6957,0.2987,1.0000,0.2432,0.0000,0.0425,0.0028,0.0059,CENTERED,-1
2657.5,38,0.4905,0.6957,0.0000,1.0000,0.0320,0.0000,0.0565,0.0125,0.0009,DRIFT LEFT — too close to left line,0
2729.7,39,1.0000,0.2432,0.0000,1.0000,0.0456,0.0000,0.0702,0.0217,0.0017,DRIFT LEFT — too close to left line,0
2801.5,40,1.0000,0.0456,0.0000,1.0000,0.0000,0.0000,0.0939,0.0376,0.0000,DRIFT LEFT — too close to left line,1
2869.9,41,1.0000,0.0456,0.0000,1.0000,0.0713,0.0000,0.0936,0.0402,0.0038,DRIFT LEFT — too close to left line,1
2942.1,42,1.0000,0.0320,0.0000,1.0000,0.0000,0.0000,0.0907,0.0329,0.0000,DRIFT LEFT — too close to left line,0
3013.8,43,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0768,0.0237,0.0000,DRIFT LEFT — too close to left line,1
3083.2,44,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0746,0.0171,0.0000,DRIFT LEFT — too close to left line,1
3155.1,45,1.0000,0.0000,0.0000,1.0000,0.0295,0.0000,0.0722,0.0148,0.0011,DRIFT LEFT — too close to left line,1
3226.0,46,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0735,0.0147,0.0000,DRIFT LEFT — too close to left line,1
3311.0,47,1.0000,0.0000,0.0000,1.0000,0.0679,0.0000,0.0532,0.0039,0.0019,DRIFT LEFT — too close to left line,1
3369.0,48,1.0000,0.0295,0.0000,1.0000,0.3321,0.0000,0.0490,0.0044,0.0099,DRIFT LEFT — too close to left line,1
3441.3,49,1.0000,0.0679,0.0000,0.8941,0.5486,0.0000,0.0426,0.0039,0.0163,DRIFT LEFT — too close to left line,1
3509.6,50,1.0000,0.3321,0.0000,0.0000,0.7186,0.5595,0.0184,0.0011,0.0328,DRIFT LEFT — too close to left line,1
3581.2,51,0.8941,0.5275,0.0000,0.0000,0.5275,0.9343,0.0135,0.0051,0.0370,DRIFT LEFT — too close to left line,0
3648.7,52,0.0000,0.5275,0.5595,0.0000,0.3877,1.0000,0.0086,0.0216,0.0340,DRIFT RIGHT — too close to right line,-1
3717.9,53,0.0000,0.5275,0.9343,0.0000,0.3304,1.0000,0.0079,0.0390,0.0360,DRIFT RIGHT — too close to right line,-1
3786.2,54,0.0000,0.3877,1.0000,0.0000,0.3815,1.0000,0.0102,0.0390,0.0392,DRIFT RIGHT — too close to right line,-1
3857.9,55,0.0000,0.3877,1.0000,0.0000,0.5131,0.9146,0.0172,0.0273,0.0462,DRIFT RIGHT — too close to right line,-1
3928.7,56,0.0000,0.3877,1.0000,0.0000,0.4310,1.0000,0.0173,0.0034,0.0624,DRIFT RIGHT — too close to right line,-1
3999.0,57,0.0000,0.4208,1.0000,0.0000,0.4208,1.0000,0.0162,0.0006,0.0609,DRIFT RIGHT — too close to right line,-1
4070.6,58,0.0000,0.4310,1.0000,0.0000,0.7871,0.4228,0.0235,0.0010,0.0361,DRIFT RIGHT — too close to right line,-1
4142.3,59,0.0000,0.5131,0.9146,0.9420,0.5285,0.0000,0.0432,0.0004,0.0155,DRIFT RIGHT — too close to right line,-1
4213.3,60,0.0000,0.4310,0.4228,1.0000,0.0340,0.0000,0.0633,0.0085,0.0011,MOSTLY CENTERED,-1
4285.2,61,0.9420,0.4208,0.0000,1.0000,0.0000,0.0000,0.0618,0.0128,0.0000,DRIFT LEFT — too close to left line,1
4359.2,62,1.0000,0.1809,0.0000,1.0000,0.1809,0.0000,0.0815,0.0248,0.0086,DRIFT LEFT — too close to left line,1
4428.8,63,1.0000,0.1809,0.0000,1.0000,0.1964,0.0000,0.0878,0.0320,0.0103,DRIFT LEFT — too close to left line,1
4498.9,64,1.0000,0.1809,0.0000,1.0000,0.3655,0.0000,0.1030,0.0557,0.0267,DRIFT LEFT — too close to left line,1
4570.5,65,1.0000,0.1964,0.0000,1.0000,0.3226,0.0000,0.1015,0.0434,0.0218,DRIFT LEFT — too close to left line,0
4642.5,66,1.0000,0.2743,0.0000,1.0000,0.2743,0.0000,0.0874,0.0294,0.0149,DRIFT LEFT — too close to left line,0
4712.3,67,1.0000,0.2743,0.0000,1.0000,0.2563,0.0000,0.0861,0.0286,0.0135,DRIFT LEFT — too close to left line,1
