# note=autonomous_lap
# remote_ip=192.168.1.170
# hz=15.0 sensor_window=5 threshold=60
# tape_color=auto
# weights=camera/trained_weights/camera_reward295.0_20260610_195556.npy
t_ms,step,L,C,R,raw_L,raw_C,raw_R,col_L,col_C,col_R,lane_state,action
1.3,0,1.0000,0.0935,0.0000,1.0000,0.0935,0.0000,0.0210,0.0004,0.0010,DRIFT LEFT — too close to left line,0
71.4,1,1.0000,0.0673,0.0000,1.0000,0.0411,0.0000,0.0204,0.0002,0.0004,DRIFT LEFT — too close to left line,1
143.6,2,1.0000,0.0935,0.0000,0.0000,0.5000,0.0000,0.0192,0.0000,0.0007,DRIFT LEFT — too close to left line,1
214.8,3,0.5000,0.2967,0.0000,0.0000,0.5000,0.0000,0.0138,0.0002,0.0009,DRIFT LEFT — too close to left line,0
285.3,4,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0045,0.0004,0.0044,MOSTLY CENTERED,0
351.9,5,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0030,0.0018,0.0047,MOSTLY CENTERED,0
421.8,6,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0024,0.0006,0.0055,MOSTLY CENTERED,0
494.8,7,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0028,0.0035,0.0047,MOSTLY CENTERED,0
561.6,8,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0038,0.0003,0.0052,MOSTLY CENTERED,0
633.8,9,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0036,0.0031,0.0040,MOSTLY CENTERED,0
702.0,10,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0031,0.0015,0.0034,MOSTLY CENTERED,0
771.4,11,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0037,0.0049,0.0036,MOSTLY CENTERED,0
842.9,12,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0033,0.0059,0.0033,MOSTLY CENTERED,0
917.9,13,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0027,0.0039,0.0036,MOSTLY CENTERED,0
985.9,14,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0025,0.0064,0.0031,MOSTLY CENTERED,0
1054.8,15,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0031,0.0062,0.0025,MOSTLY CENTERED,0
1126.6,16,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0022,0.0091,0.0022,MOSTLY CENTERED,0
1194.1,17,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0013,0.0082,0.0021,MOSTLY CENTERED,0
1265.7,18,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0007,0.0055,0.0011,MOSTLY CENTERED,0
1336.7,19,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0016,0.0177,0.0021,MOSTLY CENTERED,0
1409.2,20,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0008,0.0140,0.0025,MOSTLY CENTERED,0
1475.3,21,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0003,0.0191,0.0021,MOSTLY CENTERED,0
1547.1,22,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0003,0.0181,0.0025,MOSTLY CENTERED,0
1617.7,23,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0007,0.0205,0.0034,MOSTLY CENTERED,0
1688.4,24,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0002,0.0158,0.0022,MOSTLY CENTERED,0
